x,y,z
0.9000000000000001,1.0,0.3136111111111112
0.9000000000000001,0.9000000000000001,0.2925000000000001
0.8000000000000003,0.9000000000000001,0.2500000000000001
0.8000000000000003,0.8000000000000003,0.23111111111111127
0.7000000000000002,0.8000000000000003,0.19361111111111123
0.7000000000000002,0.7000000000000002,0.17694444444444454
0.6000000000000001,0.7000000000000002,0.1444444444444445
0.6000000000000001,0.6000000000000001,0.13000000000000003
0.5,0.6000000000000001,0.10250000000000001
0.5,0.5,0.09027777777777778
0.39999999999999997,0.5,0.06777777777777777
0.39999999999999997,0.39999999999999997,0.057777777777777775
0.3,0.39999999999999997,0.04027777777777777
0.3,0.3,0.0325
0.2,0.3,0.02
0.2,0.2,0.014444444444444447
0.10000000000000003,0.2,0.006944444444444446
0.10000000000000003,0.10000000000000003,0.0036111111111111135
2.7755575615628914e-17,0.10000000000000003,0.001111111111111112
2.7755575615628914e-17,2.7755575615628914e-17,2.7818988085593406e-34
2.7755575615628914e-17,2.7755575615628914e-17,2.7818988085593406e-34
