x,y,z
1.9899999999999998,1.0,98.00999999999995
1.9899999999999998,1.01,94.07070099999996
1.9799999999999998,1.01,92.14090099999996
1.9799999999999998,1.02,88.28521599999995
1.9699999999999998,1.02,86.41601599999996
1.9699999999999998,1.03,82.64718099999996
1.9599999999999997,1.03,80.83898099999996
1.9599999999999997,1.04,77.16025599999993
1.9499999999999997,1.04,75.41345599999993
1.9499999999999997,1.05,71.82812499999994
1.9399999999999997,1.05,70.14312499999994
1.9399999999999997,1.06,66.65449599999994
1.9299999999999997,1.06,65.03169599999993
1.9299999999999997,1.07,61.643100999999945
1.9199999999999997,1.07,60.08290099999995
1.9199999999999997,1.08,56.79769599999994
1.9099999999999997,1.08,55.30049599999994
1.9099999999999997,1.09,52.12206099999993
1.8999999999999997,1.09,50.68826099999993
1.8999999999999997,1.1,47.619999999999926
1.8899999999999997,1.1,46.24999999999993
1.8899999999999997,1.11,43.29534099999993
1.8799999999999997,1.11,41.98954099999993
1.8799999999999997,1.12,39.151935999999935
1.8699999999999997,1.12,37.910735999999936
1.8699999999999997,1.1300000000000001,35.19366099999992
1.8599999999999997,1.1300000000000001,34.01746099999992
1.8599999999999997,1.1400000000000001,31.424415999999926
1.8499999999999996,1.1400000000000001,30.31361599999993
1.8499999999999996,1.1500000000000001,27.84812499999994
1.8399999999999996,1.1500000000000001,26.803124999999937
1.8399999999999996,1.1600000000000001,24.46873599999993
1.8299999999999996,1.1600000000000001,23.489935999999933
1.8299999999999996,1.1700000000000002,21.290220999999924
1.8199999999999996,1.1700000000000002,20.378020999999926
1.8199999999999996,1.1800000000000002,18.31657599999994
1.8099999999999996,1.1800000000000002,17.471375999999943
1.8099999999999996,1.1900000000000002,15.55182099999994
1.7999999999999996,1.1900000000000002,14.774020999999943
1.7999999999999996,1.2000000000000002,12.999999999999945
1.7899999999999996,1.2000000000000002,12.289999999999946
1.7899999999999996,1.2100000000000002,10.665180999999947
1.7799999999999996,1.2100000000000002,10.023380999999949
1.7799999999999996,1.2200000000000002,8.551455999999954
1.7699999999999996,1.2200000000000002,7.978255999999955
1.7699999999999996,1.2300000000000002,6.6629409999999485
1.7599999999999996,1.2300000000000002,6.15874099999995
1.7599999999999996,1.2400000000000002,5.003775999999958
1.7499999999999996,1.2400000000000002,4.568975999999958
1.7499999999999996,1.2500000000000002,3.5781249999999667
1.7399999999999995,1.2500000000000002,3.213124999999968
1.7399999999999995,1.2600000000000002,2.390175999999969
1.7299999999999995,1.2600000000000002,2.095375999999971
1.7299999999999995,1.2700000000000002,1.4441409999999737
1.7199999999999995,1.2700000000000002,1.2199409999999757
1.7199999999999995,1.2800000000000002,0.7442559999999803
1.7099999999999995,1.2800000000000002,0.5910559999999826
1.7099999999999995,1.2900000000000003,0.2947809999999904
1.6999999999999995,1.2900000000000003,0.21298099999999248
1.6999999999999995,1.3000000000000003,0.09999999999999797
1.6899999999999995,1.3000000000000003,0.09000000000000016
1.6899999999999995,1.3000000000000003,0.09000000000000016
1.6899999999999995,1.3000000000000003,0.09000000000000016
1.6899999999999995,1.3000000000000003,0.09000000000000016
1.6899999999999995,1.3000000000000003,0.09000000000000016
